Station Names,x,y
Alewife,164,116
Davis,187,115
Porter Square,221,121
Harvard Square,241,141
Central Square,259,160
Kendall/MIT,281,181
Charles/MGH,301,201
Park Street,315,215
Downtown Crossing,334,234
South Station,357,257
Broadway,363,282
Andrew,363,305
JFK/UMass,363,327
Savin Hill,349,342
Fields Corner,335,362
Shawmut,336,376
Ashmont,336,392
Cedar Grove,335,412
Butler,325,421
Milton,311,421
Central Avenue,294,421
Valley Road,278,422
Capen Street,263,421
Mattapan,248,422
North Quincy,410,414
Wollaston,430,434
Quincy Center,449,453
Quincy Adams,468,471
Braintree,474,515
Oak Grove,335,50
Malden Center,335,68
Wellington,335,86
Sullivan Square,335,109
Community College,335,130
North Station,339,155
Haymarket,355,179
State,353,214
Downtown Crossing,334,235
Chinatown,317,252
New England Medical Center,306,263
Back Bay,295,273
Massachusetts Avenue,285,284
Ruggles,276,294
Roxbury Crossing,266,303
Jackson Square,257,313
Stony Brook,246,322
Green Street,237,332
Forest Hills,227,342
Lechmere,304,132
Science Park,324,152
North Station,333,161
Haymarket,348,180
Government Center,335,196
Park Street,316,215
Boylston,301,229
Arlington,286,236
Copley,271,236
Hynes Convention Center,257,236
Kenmore,242,236
Blandford Street,233,226
Boston University East,228,222
Boston University Central,223,218
Boston University West,220,213
St. Paul Street (1),210,205
Pleasant Street,198,204
Babcock Street,188,205
Packards Corner,184,206
Harvard Avenue,175,206
Griggs Street/Long Avenue,169,211
Allston Street,163,217
Warren Street,161,220
Washington Street,158,223
Sutherland Street,153,226
Chiswick Road,146,227
Chestnut Hill Avenue,140,227
South Street,131,218
Boston College,121,207
St. Marys Street,219,235
Hawes Street,211,235
Kent Street,202,235
St. Paul Street (2),195,237
Coolidge Corner,188,237
Summit Avenue,182,235
Brandon Hall,178,236
Fairbanks,174,236
Washington Square,170,237
Tappan Street,165,236
Dean Road,159,236
Englewood Avenue,155,236
Cleveland Circle,148,236
Fenway,219,246
Longwood,206,258
Brookline Village,194,269
Brookline Hills,171,270
Beaconsfield,155,255
Reservoir,141,241
Chestnut Hill,128,239
Newton Center,114,240
Newton Highlands,100,239
Eliot,88,240
Waban,75,240
Woodland,63,239
Riverside,44,240
Prudential,256,263
Symphony,251,269
Northeastern University,247,272
Museum of Fine Arts,242,278
Longwood Medical Area,237,282
Brigham Circle,233,286
Fenwood Street,229,289
Mission Park,227,294
Riverway,227,301
Back of the Hill,226,307
Heath Street,227,315
Wonderland,508,62
Revere Beach,491,79
Beachmont,475,94
Suffolk Downs,461,107
Orient Heights,447,123
Wood Island,434,136
Airport,419,150
Maverick,406,165
Aquarium,373,198
State,355,215
Government Center,336,197
Bowdoin,319,182